TestName,UUID,baseline_FPS_RX_64B_0.00,baseline_FPS_RX_128B_0.00,baseline_FPS_RX_256B_0.00,baseline_FPS_RX_1500B_0.00,baseline_FPS_RX_64B_0.002,baseline_FPS_RX_128B_0.002,baseline_FPS_RX_256B_0.002,baseline_FPS_RX_1500B_0.002,baseline_FPS_RX_2000B_0.00,baseline_FPS_RX_9000B_0.00
Gating VSPERF netqe23 PVP_TPUT OVSVANILLA linuxbridge 4Q Rhel7.3,0028,1,,,0.9,1.1,,,0.9,,
Gating VSPERF netqe23 PVP_TPUT OVSVANILLA testpmd 1Q Rhel7.3,0068,0.35,,,0.35,0.35,,,0.4,,
Gating VSPERF netqe23 PVP_TPUT OVSVANILLA testpmd 2Q Rhel7.3,0069,0.7,,,0.7,0.7,,,0.8,,
Gating VSPERF netqe23 PVP_TPUT OVSVANILLA testpmd 4Q Rhel7.3,0070,1,,,1,1,,,1.4,,
Weekly VSPERF netqe23 PVP_CONT OVSDPDKVHOST 1Q 4PMD 2C/4HT Rhel7.3 NOVLAN,0049,8,7,7,1.6,,,,,,
Weekly VSPERF netqe23 PVP_CONT OVSDPDKVHOST 2Q 8PMD 4C/8HT Rhel7.3 NOVLAN,0050,15.5,15,9,1.6,,,,,,
Weekly VSPERF netqe23 PVP_CONT OVSDPDKVHOST 4Q 16PMD 8C/16HT Rhel7.3 NOVLAN,0052,10,10,9,1.6,,,,,,
Weekly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST 1Q 4PMD 2C/4HT Rhel7.3 NOVLAN,0048,7.3,6,6.7,1.6,7.6,7.9,7.45,1.644,,
Weekly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST 2Q 8PMD 4C/8HT Rhel7.3 NOVLAN,0051,13,12,9,1.6,8,14.5,9,1.644,,
Weekly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST 4Q 16PMD 8C/16HT Rhel7.3 NOVLAN,0053,21,16,9,1.6,23,16,9,1.644,,
Weekly VSPERF netqe23 PVVP_CONT OVSDPDKVHOST 1Q 4PMD 2C/4HT Rhel7.3 NOVLAN,0055,4.4,4,4,1.6,0,0,0,0,,
Weekly VSPERF netqe23 PVVP_CONT OVSDPDKVHOST 2Q 8PMD 4C/8HT Rhel7.3 NOVLAN,0057,8,8,7,1.6,0,0,0,0,,
Weekly VSPERF netqe23 PVVP_TPUT OVSDPDKVHOST 1Q 4PMD 2C/4HT Rhel7.3 NOVLAN,0054,4,2,3.8,1.6,3,1.9,2.2,1.6,,
Weekly VSPERF netqe23 PVVP_TPUT OVSDPDKVHOST 2Q 8PMD 4C/8HT Rhel7.3 NOVLAN,0056,7,2,5,1.6,2.5,1.8,5.6,1.6,,
Weekly VSPERF netqe23 PVP_CONT OVSDPDKVHOST 1Q 4PMD 2C/4HT Rhel7.3 VLAN,0010,8,7,7,1.6,,,,,,
Weekly VSPERF netqe23 PVP_CONT OVSDPDKVHOST 2Q 8PMD 4C/8HT Rhel7.3 VLAN,0013,16,15,9,1.6,,,,,,
Weekly VSPERF netqe23 PVP_CONT OVSDPDKVHOST 4Q 16PMD 8C/16HT Rhel7.3 VLAN,0015,10,10,9,1.6,,,,,,
Weekly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST 1Q 4PMD 2C/4HT Rhel7.3 VLAN,0011,7.8,7,7,1.6,7,7,7,1.644,,
Weekly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST 2Q 8PMD 4C/8HT Rhel7.3 VLAN,0012,14,14.5,9,1.6,13,12,8.5,1.644,,
Weekly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST 4Q 16PMD 8C/16HT Rhel7.3 VLAN,0014,23,16,9,1.6,18,16,9,1.644,,
Weekly VSPERF netqe23 PVVP_CONT OVSDPDKVHOST 1Q 4PMD 2C/4HT Rhel7.3 VLAN,0017,4.3,4.3,4.1,1.6,0,0,0,0,,
Weekly VSPERF netqe23 PVVP_CONT OVSDPDKVHOST 2Q 8PMD 4C/8HT Rhel7.3 VLAN,0018,8.5,6,5.8,1.6,0,0,0,0,,
Weekly VSPERF netqe23 PVVP_TPUT OVSDPDKVHOST 1Q 4PMD 2C/4HT Rhel7.3 VLAN,0016,4,2,3.8,1.6,4,2,3.8,1.6,,
Weekly VSPERF netqe23 PVVP_TPUT OVSDPDKVHOST 2Q 8PMD 4C/8HT Rhel7.3 VLAN,0019,5,5,4,1.6,4,5,4,1.6,,
Weekly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST TESTPMD 1Q 4PMD 2C/4HT Rhel7.3 NOVLAN 4k,0074,7,,,,,,,,,
Weekly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST LINUXBRIDGE 1Q 4PMD 2C/4HT Rhel7.3 NOVLAN 4k,0075,0.35,,,,,,,,,
Weekly VSPERF netqe23 PVP_TPUT OVSVANILLA LINUXBRIDGE 1Q 4PMD 2C/4HT Rhel7.3 NOVLAN 4k,0076,0.35,,,,,,,,,
Weekly VSPERF netqe23 PVP_TPUT OVSVANILLA TESTPMD 1Q 4PMD 2C/4HT Rhel7.3 NOVLAN 4k,0077,0.35,,,,,,,,,
Weekly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST TESTPMD 1Q 4PMD 2C/4HT Rhel7.3 NOVLAN jumbo,0078,,,,,,,,,1.2,0.2
Weekly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST LINUXBRIDGE 1Q 4PMD 2C/4HT Rhel7.3 NOVLAN jumbo,0079,,,,,,,,,0.5,0.2
Weekly VSPERF netqe23 PVP_TPUT OVSVANILLA LINUXBRIDGE 1Q 4PMD 2C/4HT Rhel7.3 NOVLAN jumbo,0080,,,,,,,,,0.4,0.2
Weekly VSPERF netqe23 PVP_TPUT OVSVANILLA TESTPMD 1Q 4PMD 2C/4HT Rhel7.3 NOVLAN jumbo,0081,,,,,,,,,0.4,0.2
Weekly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST TESTPMD 1Q 4PMD 2C/4HT Rhel7.3 NOVLAN 1million,0082,7,,,1.6,,,,,,
